,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT,TEXT
0473034,CENOVUS FCCL LTD.,03,1470.0M,651.4M W,MCMURRAY,591.9M,0473034,07,112/04-11-076-06W4/02 N,BITUMEN,08-03-076-06W4,CRUDE,112/04-11-076-06W4/02,CVE FCCL J01P08 LEISMER 4-11-76-6,2018,55.5497455200001,-110.8364527322,0473034 | 112/04-11-076-06W4/02 | CENOVUS FCCL LTD.
0474467,SECURE ENERGY SERVICES INC.,03,2313.0M,E 58.0M,BELLOY,670M,0474467,07,N 745.0M,GAS,05-04-073-07W6,RESUMPTIONPRODUCTION,100/05-04-073-07W6/02,SECURE GRANDPR 5-4-73-7,2018,55.2884760026,-119.0154492388,0474467 | 100/05-04-073-07W6/02 | SECURE ENERGY SERVICES INC.
0489812,TANGLE CREEK ENERGY LTD.,03,3400.0M,E 57.1M,DUNVEGAN,836.4M,0489812,07,S 473.6M,OIL,12-20-060-17W5,CRUDE,103/16-20-060-17W5/00,TANGLE CREEK KAYBOBS 16-20-60-17,2018,54.2053366944001,-116.5163948828,0489812 | 103/16-20-060-17W5/00 | TANGLE CREEK ENERGY LTD.
0489813,TAQA NORTH LTD.,03,4360.0M,311.7M E,GLAUCONITIC,1024.8M,0489813,07,100/14-27-019-24W4/00 S,OIL,13-25-019-24W4,CRUDE,100/14-27-019-24W4/00,TQN HZ HERRON,2018,50.6391339898001,-113.2040404396,0489813 | 100/14-27-019-24W4/00 | TAQA NORTH LTD.
0489814,TAQA NORTH LTD.,03,4200.0M,359.7M E,GLAUCONITIC,1122.3M,0489814,07,100/15-16-019-24W4/00 S,OIL,13-17-019-24W4,CRUDE,100/15-16-019-24W4/00,TQN HZ HERRON,2018,50.6101654264001,-113.2963488474,0489814 | 100/15-16-019-24W4/00 | TAQA NORTH LTD.
0489815,HURON RESOURCES CORP.,03,4669.0M,E 80.0M,WABAMUN,896.6M,0489815,07,N 545.2M,OIL,05-02-031-26W4,CRUDE,100/15-27-030-26W4/00,HURON RES HZ TWINING 15-27-30-26,2018,51.6211283896668,-113.585836679667,0489815 | 100/15-27-030-26W4/00 | HURON RESOURCES CORP.
0489816,HAMMERHEAD RESOURCES INC.,03,1962.0M,W 87.4M,CADOTTE,724.1M,0489816,07,S 272.7M,WATER,16-35-067-04W6,INJECTION,100/05-01-068-04W6/00,HHR ELM 5-1-68-4,2018,54.8454548738001,-118.4860658316,0489816 | 100/05-01-068-04W6/00 | HAMMERHEAD RESOURCES INC.
0489817,HAMMERHEAD RESOURCES INC.,03,1963.0M,W 79.6M,CADOTTE,724.1M,0489817,07,S 280.5M,WATER,16-35-067-04W6,INJECTION,100/11-36-067-04W6/00,HHR ELM 11-36-67-4,2018,54.8454548738001,-118.4860658316,0489817 | 100/11-36-067-04W6/00 | HAMMERHEAD RESOURCES INC.
0489818,ATHABASCA OIL CORPORATION,03,5500.0M,W 338.9M,MONTNEY,1074.4M,0489818,07,S 178.5M,GAS,16-30-060-23W5,PRODUCTION,100/14-06-061-23W5/00,ATH HZ PLACID 14-6-61-23,2018,54.2199139332001,-117.4288123438,0489818 | 100/14-06-061-23W5/00 | ATHABASCA OIL CORPORATION
0489819,ATHABASCA OIL CORPORATION,03,5900.0M,W 330.9M,MONTNEY,1074.4M,0489819,07,S 178.5M,GAS,16-30-060-23W5,PRODUCTION,100/16-06-061-23W5/00,ATH HZ PLACID 16-6-61-23,2018,54.2199139332001,-117.4288123438,0489819 | 100/16-06-061-23W5/00 | ATHABASCA OIL CORPORATION
0489820,ATHABASCA OIL CORPORATION,03,5400.0M,W 322.9M,MONTNEY,1074.4M,0489820,07,S 178.5M,GAS,16-30-060-23W5,PRODUCTION,103/16-20-060-23W5/00,ATH 103 HZ PLACID 16-20-60-23,2018,54.2199139332001,-117.4288123438,0489820 | 103/16-20-060-23W5/00 | ATHABASCA OIL CORPORATION
0489821,ATHABASCA OIL CORPORATION,03,5000.0M,W 314.9M,MONTNEY,1074.4M,0489821,07,S 178.6M,GAS,16-30-060-23W5,PRODUCTION,103/01-29-060-23W5/00,ATH HZ PLACID 1-29-60-23,2018,54.2199139332001,-117.4288123438,0489821 | 103/01-29-060-23W5/00 | ATHABASCA OIL CORPORATION
0489822,ATHABASCA OIL CORPORATION,03,5300.0M,W 306.9M,MONTNEY,1074.4M,0489822,07,S 178.6M,GAS,16-30-060-23W5,PRODUCTION,100/16-36-060-24W5/00,ATH HZ PLACID 16-36-60-24,2018,54.2199139332001,-117.4288123438,0489822 | 100/16-36-060-24W5/00 | ATHABASCA OIL CORPORATION
0489823,ATHABASCA OIL CORPORATION,03,5300.0M,W 298.9M,MONTNEY,1074.4M,0489823,07,S 178.6M,GAS,16-30-060-23W5,PRODUCTION,102/01-01-061-24W5/00,ATH 102 HZ PLACID 1-1-61-24,2018,54.2199139332001,-117.4288123438,0489823 | 102/01-01-061-24W5/00 | ATHABASCA OIL CORPORATION
0489824,PEYTO EXPLORATION & DEVELOPMENT CORP.,03,4250.0M,E 100.0M,NOTIKEWIN,1268.8M,0489824,07,N 507.1M,GAS,05-19-042-12W5,PRODUCTION,103/10-19-042-12W5/00,PEYTO LAWRNC 10-19-42-12,2018,52.6271171906001,-115.7187452802,0489824 | 103/10-19-042-12W5/00 | PEYTO EXPLORATION & DEVELOPMENT CORP.
0489825,TORC OIL & GAS LTD.,03,3760.4M,E 133.7M,CARDIUM,986.7M,0489825,07,N 318.0M,OIL,04-24-045-12W5,CRUDE,100/04-23-045-12W5/00,TORC HZ BRAZEAU R PEMBINA 4-23-45-12,2018,52.8885159518001,-115.6117109108,0489825 | 100/04-23-045-12W5/00 | TORC OIL & GAS LTD.
0489826,IRON BRIDGE RESOURCES INC.,03,5500.0M,W 585.6M,MONTNEY,692.1M,0489826,07,S 41.2M,OIL,15-14-068-03W6,CRUDE,100/09-16-068-03W6/00,IBR HZ ELM 9-16-68-3,2018,54.8891901962001,-118.3334811462,0489826 | 100/09-16-068-03W6/00 | IRON BRIDGE RESOURCES INC.
0489827,IRON BRIDGE RESOURCES INC.,03,5200.0M,W 584.7M,MONTNEY,692.1M,0489827,07,S 25.2M,OIL,15-14-068-03W6,CRUDE,100/16-16-068-03W6/00,IBR HZ ELM 16-16-68-3,2018,54.8891901962001,-118.3334811462,0489827 | 100/16-16-068-03W6/00 | IRON BRIDGE RESOURCES INC.
0489828,NAL RESOURCES LIMITED,03,5538.5M,226.2M E,CARDIUM,1234M,0489828,07,100/04-28-026-03W5/00 N,OIL,03-04-027-03W5,CRUDE,100/04-28-026-03W5/00,NAL HZ LOCHEND,2018,51.2720686766667,-114.367409459167,0489828 | 100/04-28-026-03W5/00 | NAL RESOURCES LIMITED
0489829,DEVON CANADA CORPORATION,03,583.0M,570.4M W,MCMURRAY,657.6M,0489829,07,100/16-29-075-07W4/00 S,NONE,09-29-075-07W4,OBSERVATION,100/16-29-075-07W4/00,DEVON 16B CONKLIN 16-29-75-7,2018,55.528555197,-111.0435070508,0489829 | 100/16-29-075-07W4/00 | DEVON CANADA CORPORATION
0489830,NORTH 40 RESOURCES LTD.,03,2760.0M,E 193.6M,BANFF,805.2M,0489830,07,S 88.5M,OIL,13-05-027-17W4,CRUDE,100/13-08-027-17W4/00,NORTH 40 HZ CESS,2018,51.2793907648,-112.3629662638,0489830 | 100/13-08-027-17W4/00 | NORTH 40 RESOURCES LTD.
0489831,GRIZZLY RESOURCES LTD.,03,1810.0M,W 80.0M,CREEK,700.4M,0489831,07,N 409.9M,WATER,08-35-078-08W6,INJECTION,103/08-36-078-08W6/00,GRL 103 HZ PROGRESS 8-36-78-8,2018,55.7980431160001,-119.1148361524,0489831 | 103/08-36-078-08W6/00 | GRIZZLY RESOURCES LTD.
0489832,WHITECAP RESOURCES INC.,03,3390.0M,E 75.9M,DUNVEGAN,864M,0489832,07,S 293.4M,OIL,13-01-064-02W6,CRUDE,102/13-02-064-02W6/00,WHITECAP 102 HZ KARR 13-2-64-2,2018,54.5110367836001,-118.166391223,0489832 | 102/13-02-064-02W6/00 | WHITECAP RESOURCES INC.
0489833,IRON BRIDGE RESOURCES INC.,03,5300.0M,W 585.2M,MONTNEY,692.1M,0489833,07,S 33.2M,OIL,15-14-068-03W6,CRUDE,102/09-16-068-03W6/00,IBR 102 HZ ELM 9-16-68-3,2018,54.8891901962001,-118.3334811462,0489833 | 102/09-16-068-03W6/00 | IRON BRIDGE RESOURCES INC.
0489834,HURON RESOURCES CORP.,03,4592.0M,E 70.0M,WABAMUN,896.6M,0489834,07,N 545.2M,OIL,05-02-031-26W4,CRUDE,100/11-10-031-26W4/00,HURON RES HZ WORKMAN,2018,51.6211283896668,-113.585836679667,0489834 | 100/11-10-031-26W4/00 | HURON RESOURCES CORP.
0489835,CALTEX RESOURCES LTD.,04,1650.0M,656.0M E,LLOYDMINSTER,661.6M,0489835,07,102/10-21-037-01W4/00 S,WATER,12-22-037-01W4,INJECTION,102/10-21-037-01W4/00,CALTEX_RES 102 IN PROVOST,2018,52.1953597646001,-110.0667565502,0489835 | 102/10-21-037-01W4/00 | CALTEX RESOURCES LTD.
0489836,CALTEX RESOURCES LTD.,04,2050.0M,559.7M W,LLOYDMINSTER,665.1M,0489836,07,100/13-22-037-01W4/00 S,WATER,09-22-037-01W4,INJECTION,100/13-22-037-01W4/00,CALTEX_RES INJ HZ PROVOST 13-22-37-1,2018,52.1953715312001,-110.0549920738,0489836 | 100/13-22-037-01W4/00 | CALTEX RESOURCES LTD.
0489837,CALTEX RESOURCES LTD.,04,1650.0M,551.7M W,LLOYDMINSTER,664.6M,0489837,07,105/11-23-037-01W4/00 S,WATER,09-22-037-01W4,INJECTION,105/11-23-037-01W4/00,CALTEX_RES 105 IN PROVOST,2018,52.1953715312001,-110.0549920738,0489837 | 105/11-23-037-01W4/00 | CALTEX RESOURCES LTD.
0489838,CALTEX RESOURCES LTD.,04,3220.0M,535.7M W,LLOYDMINSTER,664.2M,0489838,07,100/14-23-037-01W4/00 S,OIL,09-22-037-01W4,CRUDE,100/14-23-037-01W4/00,CALTEX_RES MHZ PROVOST,2018,52.1953715312001,-110.0549920738,0489838 | 100/14-23-037-01W4/00 | CALTEX RESOURCES LTD.
0489839,DELTASTREAM ENERGY CORPORATION,04,2700.0M,W 334.7M,CLEARWATER,732.9M,0489839,07,N 98.7M,BITUMEN,01-30-075-25W4,CRUDE,102/01-19-075-25W4/00,DELTASTREAM HZ MARTENH 1-19-75-25,2018,55.5206231076001,-113.8640765952,0489839 | 102/01-19-075-25W4/00 | DELTASTREAM ENERGY CORPORATION
0489840,DELTASTREAM ENERGY CORPORATION,04,2700.0M,W 340.9M,CLEARWATER,732.9M,0489840,07,N 106.5M,BITUMEN,01-30-075-25W4,CRUDE,100/02-19-075-25W4/00,DELTASTREAM HZ MARTENH 2-19-75-25,2018,55.5206231076001,-113.8640765952,0489840 | 100/02-19-075-25W4/00 | DELTASTREAM ENERGY CORPORATION
0489841,CALTEX RESOURCES LTD.,04,1650.0M,588.0M E,LLOYDMINSTER,664M,0489841,07,102/07-21-037-01W4/00 N,WATER,05-22-037-01W4,INJECTION,102/07-21-037-01W4/00,CALTEX_RES 102 INJ PROVOST,2018,52.1881268688001,-110.066760601,0489841 | 102/07-21-037-01W4/00 | CALTEX RESOURCES LTD.
0489842,DELTASTREAM ENERGY CORPORATION,04,2700.0M,E 791.6M,CLEARWATER,689.3M,0489842,07,S 197.6M,BITUMEN,14-34-074-25W4,CRUDE,100/15-02-075-25W4/00,DELTASTREAM HZ MARTENH 15-2-75-25,2018,55.4550139652001,-113.765479397,0489842 | 100/15-02-075-25W4/00 | DELTASTREAM ENERGY CORPORATION
0489843,DELTASTREAM ENERGY CORPORATION,04,2700.0M,W 800.7M,CLEARWATER,689.4M,0489843,07,S 197.6M,BITUMEN,15-34-074-25W4,CRUDE,100/16-02-075-25W4/00,DELTASTREAM HZ MARTENH 16-2-75-25,2018,55.4550125068,-113.7528220148,0489843 | 100/16-02-075-25W4/00 | DELTASTREAM ENERGY CORPORATION
0489844,CALTEX RESOURCES LTD.,04,1375.0M,242.8M W,LLOYDMINSTER,675.3M,0489844,07,102/04-23-037-01W4/00 N,OIL,02-23-037-01W4,CRUDE,102/04-23-037-01W4/00,CALTEX_RES HZ PROVOST,2018,52.1881168614001,-110.0311764822,0489844 | 102/04-23-037-01W4/00 | CALTEX RESOURCES LTD.
0489845,CALTEX RESOURCES LTD.,04,2100.0M,543.7M W,LLOYDMINSTER,664.5M,0489845,07,102/13-22-037-01W4/00 S,OIL,09-22-037-01W4,CRUDE,102/13-22-037-01W4/00,CALTEX_RES 102 MH PROVOST 13-22-37-1,2018,52.1953715312001,-110.0549920738,0489845 | 102/13-22-037-01W4/00 | CALTEX RESOURCES LTD.
0489846,XTO ENERGY CANADA ULC,04,7000.0M,E 800.4M,DUVERNAY,896.6M,0489846,07,S 801.1M,GAS,11-14-060-20W5,PRODUCTION,103/08-26-060-20W5/00,XTO HZ KAYBOBS 8-26-60-20,2018,54.1908325666001,-116.8913309126,0489846 | 103/08-26-060-20W5/00 | XTO ENERGY CANADA ULC
0489847,CANADIAN NATURAL RESOURCES LIMITED,04,1891.0M,130.0M W,SUNBURST,824.8M,0489847,07,102/08-18-011-17W4/00 S,OIL,15-07-011-17W4,CRUDE,102/08-18-011-17W4/00,CNRL HZ 102 RETLAW,2018,49.896510776,-112.3045343122,0489847 | 102/08-18-011-17W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489848,BAYTEX ENERGY LTD.,04,384.0M,320.4M E,REX,552.8M,0489848,07,102/14-36-061-05W4/00 S,BITUMEN,14-36-061-05W4,CRUDE,102/14-36-061-05W4/00,BAYTEX 14B BNNYVLLE 14-36-61-5,2018,54.3202679660001,-110.6201666388,0489848 | 102/14-36-061-05W4/00 | BAYTEX ENERGY LTD.
0489849,CANADIAN NATURAL RESOURCES LIMITED,04,577.7M,732.6M W,REX,556.7M,0489849,07,100/03-01-061-05W4/00 N,BITUMEN,07-01-061-05W4,CRUDE,100/03-01-061-05W4/00,CNRL 3D BNNYVLLE 3-1-61-5,2018,54.2403677696001,-110.607847514,0489849 | 100/03-01-061-05W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489850,CANADIAN NATURAL RESOURCES LIMITED,04,466.6M,737.2M W,REX,556.7M,0489850,07,103/06-01-061-05W4/00 N,BITUMEN,07-01-061-05W4,CRUDE,103/06-01-061-05W4/00,CNRL 6D BNNYVLLE 6-1-61-5,2018,54.2403677696001,-110.607847514,0489850 | 103/06-01-061-05W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489851,CANADIAN NATURAL RESOURCES LIMITED,04,437.2M,735.0M W,REX,556.7M,0489851,07,100/07-01-061-05W4/00 N,BITUMEN,07-01-061-05W4,CRUDE,100/07-01-061-05W4/00,CNRL 7C BNNYVLLE 7-1-61-5,2018,54.2403677696001,-110.607847514,0489851 | 100/07-01-061-05W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489852,CANADIAN NATURAL RESOURCES LIMITED,04,496.3M,730.2M W,REX,556.7M,0489852,07,100/10-01-061-05W4/00 N,BITUMEN,07-01-061-05W4,CRUDE,100/10-01-061-05W4/00,CNRL 10B BNNYVLLE 10-1-61-5,2018,54.2403677696001,-110.607847514,0489852 | 100/10-01-061-05W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489853,CANADIAN NATURAL RESOURCES LIMITED,04,520.0M,770.9M W,PETROLEUM,661.9M,0489853,07,102/10-28-056-02W4/00 S,BITUMEN,10-28-056-02W4,CRUDE,102/10-28-056-02W4/00,CNRL 10A FROG LK 10-28-56-2,2018,53.8693926676001,-110.2307710586,0489853 | 102/10-28-056-02W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489854,CANADIAN NATURAL RESOURCES LIMITED,04,626.0M,770.9M W,PETROLEUM,662.1M,0489854,07,100/09-28-056-02W4/00 S,BITUMEN,10-28-056-02W4,CRUDE,100/09-28-056-02W4/00,CNRL 9C FROG LK 9-28-56-2,2018,53.8693926676001,-110.2307710586,0489854 | 100/09-28-056-02W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489855,CANADIAN NATURAL RESOURCES LIMITED,04,598.0M,765.9M W,PETROLEUM,661.4M,0489855,07,100/08-28-056-02W4/00 S,BITUMEN,09-28-056-02W4,CRUDE,100/08-28-056-02W4/00,CNRL 8D FROG LK 8-28-56-2,2018,53.8693926676001,-110.2307710586,0489855 | 100/08-28-056-02W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489856,CANADIAN NATURAL RESOURCES LIMITED,04,633.0M,770.9M W,PETROLEUM,661.9M,0489856,07,100/07-28-056-02W4/00 S,BITUMEN,10-28-056-02W4,CRUDE,100/07-28-056-02W4/00,CNRL 7C FROG LK 7-28-56-2,2018,53.8693926676001,-110.2307710586,0489856 | 100/07-28-056-02W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489857,CANADIAN NATURAL RESOURCES LIMITED,04,609.0M,769.7M W,PETROLEUM,661.3M,0489857,07,102/09-28-056-02W4/00 S,BITUMEN,09-28-056-02W4,CRUDE,102/09-28-056-02W4/00,CNRL 9A FROG LK 9-28-56-2,2018,53.8693926676001,-110.2307710586,0489857 | 102/09-28-056-02W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489858,CANADIAN NATURAL RESOURCES LIMITED,04,608.0M,777.1M W,PETROLEUM,663.1M,0489858,07,103/10-28-056-02W4/00 S,BITUMEN,10-28-056-02W4,CRUDE,103/10-28-056-02W4/00,CNRL 10B FROG LK 10-28-56-2,2018,53.8693926676001,-110.2307710586,0489858 | 103/10-28-056-02W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489859,CANADIAN NATURAL RESOURCES LIMITED,04,587.0M,769.7M W,PETROLEUM,661.6M,0489859,07,102/08-28-056-02W4/00 S,BITUMEN,09-28-056-02W4,CRUDE,102/08-28-056-02W4/00,CNRL 8B FROG LK 8-28-56-2,2018,53.8693926676001,-110.2307710586,0489859 | 102/08-28-056-02W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489860,CANADIAN NATURAL RESOURCES LIMITED,04,764.0M,627.0M E,CUMMINGS,606.1M,0489860,07,100/05-14-055-03W4/00 S,BITUMEN,11-14-055-03W4,CRUDE,100/05-14-055-03W4/00,CNRL 5A FROG LK 5-14-55-3,2018,53.7529423086001,-110.341956853,0489860 | 100/05-14-055-03W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489861,CANADIAN NATURAL RESOURCES LIMITED,04,836.0M,580.1M E,CUMMINGS,606.1M,0489861,07,102/07-14-055-03W4/00 S,BITUMEN,11-14-055-03W4,CRUDE,102/07-14-055-03W4/00,CNRL 7B FROG LK 7-14-55-3,2018,53.7529423086001,-110.341956853,0489861 | 102/07-14-055-03W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489862,CANADIAN NATURAL RESOURCES LIMITED,04,570.0M,637.6M E,CUMMINGS,606.1M,0489862,07,100/11-14-055-03W4/00 S,BITUMEN,11-14-055-03W4,CRUDE,100/11-14-055-03W4/00,CNRL 11A FROG LK 11-14-55-3,2018,53.7529423086001,-110.341956853,0489862 | 100/11-14-055-03W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489863,CANADIAN NATURAL RESOURCES LIMITED,04,624.0M,604.1M E,CUMMINGS,606.1M,0489863,07,102/11-14-055-03W4/00 S,BITUMEN,11-14-055-03W4,CRUDE,102/11-14-055-03W4/00,CNRL 11C FROG LK 11-14-55-3,2018,53.7529423086001,-110.341956853,0489863 | 102/11-14-055-03W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489864,CANADIAN NATURAL RESOURCES LIMITED,04,816.0M,615.7M E,CUMMINGS,606.1M,0489864,07,100/12-14-055-03W4/00 S,BITUMEN,11-14-055-03W4,CRUDE,100/12-14-055-03W4/00,CNRL 12B FROG LK 12-14-55-3,2018,53.7529423086001,-110.341956853,0489864 | 100/12-14-055-03W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489865,CANADIAN NATURAL RESOURCES LIMITED,04,880.0M,592.2M E,CUMMINGS,606.1M,0489865,07,102/13-14-055-03W4/00 S,BITUMEN,11-14-055-03W4,CRUDE,102/13-14-055-03W4/00,CNRL 13D FROG LK 13-14-55-3,2018,53.7529423086001,-110.341956853,0489865 | 102/13-14-055-03W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489866,BOW RIVER ENERGY LTD.,04,1400.0M,77.4M E,DINA,666.1M,0489866,07,102/12-01-039-02W4/00 N,OIL,04-12-039-02W4,CRUDE,102/12-01-039-02W4/00,BOW RIVER PROVOST,2018,52.3335255596001,-110.16321028,0489866 | 102/12-01-039-02W4/00 | BOW RIVER ENERGY LTD.
0489867,CANADIAN NATURAL RESOURCES LIMITED,04,614.0M,262.1M W,CLEARWATER,536.6M,0489867,07,100/11-30-062-07W4/00 S,BITUMEN,15-30-062-07W4,CRUDE,100/11-30-062-07W4/00,CNRL 11B BNNYVLLE 11-30-62-7,2018,54.3938008268001,-111.0327901106,0489867 | 100/11-30-062-07W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489868,CANADIAN NATURAL RESOURCES LIMITED,04,452.0M,247.1M W,CLEARWATER,536.6M,0489868,07,100/14-30-062-07W4/00 S,BITUMEN,15-30-062-07W4,CRUDE,100/14-30-062-07W4/00,CNRL 14A BNNYVLLE 14-30-62-7,2018,54.3938008268001,-111.0327901106,0489868 | 100/14-30-062-07W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489869,CANADIAN NATURAL RESOURCES LIMITED,04,472.0M,231.6M W,CLEARWATER,536.6M,0489869,07,102/15-30-062-07W4/00 S,BITUMEN,15-30-062-07W4,CRUDE,102/15-30-062-07W4/00,CNRL 15A BNNYVLLE 15-30-62-7,2018,54.3938008268001,-111.0327901106,0489869 | 102/15-30-062-07W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489870,PARAMOUNT RESOURCES LTD.,04,5070.0M,W 528.7M,MONTNEY,768.9M,0489870,07,N 249.9M,OIL,02-25-064-19W5,CRUDE,103/15-36-064-19W5/00,PARA 103 HZ KAYBOB 15-36-64-19,2018,54.5620852430001,-116.7259295214,0489870 | 103/15-36-064-19W5/00 | PARAMOUNT RESOURCES LTD.
0489871,TORXEN ENERGY LTD.,04,3013.0M,E 168.5M,ELLERSLIE,746.1M,0489871,07,S 144.0M,OIL,13-11-016-13W4,CRUDE,102/01-22-016-13W4/00,TXNE 13C-11 HZ BANTRY,2018,50.3332063054001,-111.690902205,0489871 | 102/01-22-016-13W4/00 | TORXEN ENERGY LTD.
0489872,TORXEN ENERGY LTD.,04,2813.0M,E 168.3M,ELLERSLIE,746.1M,0489872,07,S 132.0M,OIL,13-11-016-13W4,CRUDE,100/04-23-016-13W4/00,TXNE 13C-11 HZ BANTRY,2018,50.3332063054001,-111.690902205,0489872 | 100/04-23-016-13W4/00 | TORXEN ENERGY LTD.
0145006,TAQA NORTH LTD.,05,508.0M,460.3M W,EDMONTON,1021.6M,0145006,07,100/07-25-018-27W4/02 N,GAS,07-25-018-27W4,RESUMPTIONPRODUCTION,100/07-25-018-27W4/02,TQN HERRON,2018,50.5443890512001,-113.5779152746,0145006 | 100/07-25-018-27W4/02 | TAQA NORTH LTD.
0489873,JUPITER RESOURCES INC.,05,5650.0M,E 780.3M,RIVER,1290.5M,0489873,07,N 169.9M,GAS,03-35-059-01W6,PRODUCTION,100/05-02-060-01W6/00,JUPITER HZ SMOKY 5-2-60-1,2018,54.1399319254001,-118.0401451912,0489873 | 100/05-02-060-01W6/00 | JUPITER RESOURCES INC.
0489874,JUPITER RESOURCES INC.,05,5558.0M,E 765.3M,RIVER,1290.5M,0489874,07,N 169.7M,GAS,03-35-059-01W6,PRODUCTION,100/16-23-059-01W6/00,JUPITER HZ SMOKY 16-23-59-1,2018,54.1399319254001,-118.0401451912,0489874 | 100/16-23-059-01W6/00 | JUPITER RESOURCES INC.
0489875,JUPITER RESOURCES INC.,05,5148.0M,E 757.3M,RIVER,1290.5M,0489875,07,N 169.6M,GAS,03-35-059-01W6,PRODUCTION,100/15-23-059-01W6/00,JUPITER HZ SMOKY 15-23-59-1,2018,54.1399319254001,-118.0401451912,0489875 | 100/15-23-059-01W6/00 | JUPITER RESOURCES INC.
0489876,JUPITER RESOURCES INC.,05,6780.0M,W 619.9M,RIVER,1284.1M,0489876,07,N 291.2M,GAS,02-11-059-02W6,PRODUCTION,102/01-35-058-02W6/00,JUPITER HZ SMOKY 1-35-58-2,2018,54.0817421658,-118.1777342586,0489876 | 102/01-35-058-02W6/00 | JUPITER RESOURCES INC.
0489877,JUPITER RESOURCES INC.,05,6660.0M,W 619.6M,RIVER,1284.1M,0489877,07,N 283.2M,GAS,02-11-059-02W6,PRODUCTION,102/02-35-058-02W6/00,JUPITER HZ SMOKY 2-35-58-2,2018,54.0817421658,-118.1777342586,0489877 | 102/02-35-058-02W6/00 | JUPITER RESOURCES INC.
0489878,JUPITER RESOURCES INC.,05,6660.0M,E 582.2M,RIVER,1288.5M,0489878,07,N 287.5M,GAS,03-11-059-02W6,PRODUCTION,102/03-35-058-02W6/00,JUPITER HZ SMOKY 3-35-58-2,2018,54.0818473108334,-118.189664514833,0489878 | 102/03-35-058-02W6/00 | JUPITER RESOURCES INC.
0489879,JUPITER RESOURCES INC.,05,6780.0M,E 582.0M,RIVER,1288.2M,0489879,07,N 295.5M,GAS,03-11-059-02W6,PRODUCTION,102/04-35-058-02W6/00,JUPITER HZ SMOKY 4-35-58-2,2018,54.0818473108334,-118.189664514833,0489879 | 102/04-35-058-02W6/00 | JUPITER RESOURCES INC.
0489880,CENOVUS FCCL LTD.,05,1965.0M,464.9M W,MCMURRAY,573.7M,0489880,07,118/06-14-076-06W4/00 N,WATER,07-23-076-06W4,INJECTION,118/06-14-076-06W4/00,CVE FCCL L05I09 LEISMER 6-14-76-6,2018,55.5932223152001,-110.8105748374,0489880 | 118/06-14-076-06W4/00 | CENOVUS FCCL LTD.
0489881,REPSOL OIL & GAS CANADA INC.,05,6300.0M,W 704.6M,LAKE,989.1M,0489881,07,N 366.4M,OIL,02-10-040-04W5,CRUDE,100/10-16-040-04W5/00,ROGCI HZ WILLGR 10-16-40-4,2018,52.4228155224001,-114.4839566254,0489881 | 100/10-16-040-04W5/00 | REPSOL OIL & GAS CANADA INC.
0489882,IRON BRIDGE RESOURCES INC.,05,5200.0M,W 667.4M,MONTNEY,689.3M,0489882,07,N 213.4M,OIL,02-23-068-03W6,CRUDE,102/16-16-068-03W6/00,IBR 102 HZ ELM 16-16-68-3,2018,54.8964182794001,-118.3334816066,0489882 | 102/16-16-068-03W6/00 | IRON BRIDGE RESOURCES INC.
0489883,CANADIAN NATURAL RESOURCES LIMITED,05,2053.0M,E 535.4M,SUNBURST,757.3M,0489883,07,N 151.4M,OIL,03-27-018-13W4,CRUDE,104/09-21-018-13W4/00,CNRL HZ 103 BANTRY,2018,50.5444747436,-111.7136596638,0489883 | 104/09-21-018-13W4/00 | CANADIAN NATURAL RESOURCES LIMITED
0489884,SUN CENTURY PETROLEUM CORPORATION,05,3360.0M,W 456.2M,WABAMUN,888.1M,0489884,07,N 309.5M,GAS,02-10-037-23W4,PRODUCTION,100/01-03-037-23W4/00,SUN CENTURY MIKWAN,2018,52.1590079726001,-113.1978770666,0489884 | 100/01-03-037-23W4/00 | SUN CENTURY PETROLEUM CORPORATION
